Chromosome #,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,2,3,2,2,3,2,1,2,2,2,2,2,2,2,3,2,2,2,2
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2
17,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
20,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2
21,2,2,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,0,1,2
22,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
der(5;6),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
der(4;22),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
der(8;12),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
der(5) short,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
der(14) short,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
der(17;19),1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
der(15+),1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
der(18;14;18),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"der(18,14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
der(8;21),0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0
der(1;15),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
der(X) short,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
der(1) short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
unknown var,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
