Chromosome #,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,0,1,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,2,1,0,1,1,1,1,1,1,1,1,1,1,1
5,3,2,1,2,2,2,2,2,2,2,2,2,2,2
6,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,3,2,2,2,2,2,2,2,3,2,2,2,2
8,2,1,0,1,1,1,1,1,1,1,1,1,1,1
9,2,1,1,2,2,2,2,2,2,2,2,2,2,2
10,1,2,0,2,2,2,2,2,2,2,2,2,2,2
11,1,2,2,2,2,2,2,2,2,2,2,2,2,2
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,3,1,1,1,2,2,2,2,2,2,2,2,2,2
14,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,1,1,2,2,2,2,2,2,2,2,2,2,0
17,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,1,2,1,1,1,2,2,2,2,2,2,2,2,2
20,2,2,1,2,2,2,2,2,2,2,3,3,3,3
21,2,2,1,1,0,2,2,2,2,2,1,2,2,2
22,0,1,0,1,1,0,1,1,1,1,1,1,1,1
X,2,2,1,2,2,2,2,2,2,2,2,2,2,2
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
der(6;5),0,1,0,1,1,1,1,1,1,1,1,0,1,1
der(4;22),1,1,1,1,1,1,1,1,1,1,1,1,1,1
der(12;8),1,1,0,1,1,1,1,1,1,1,1,1,1,1
der(5),0,1,0,1,1,1,1,1,1,1,1,1,1,1
der(14),0,1,1,1,1,1,1,1,1,1,1,1,1,1
der(17;19),0,1,1,1,1,1,1,1,1,1,1,1,1,1
der(15),0,1,2,1,1,1,1,1,1,1,1,1,1,1
der(18;14;18),0,0,1,1,1,1,1,1,1,1,1,1,1,1
der(18;14),1,1,1,0,1,1,1,1,1,1,1,1,1,1
der(8;21),0,0,0,1,0,0,0,0,0,0,0,0,0,0
der(1;15),0,0,0,0,0,0,0,0,0,0,0,0,0,0
der(X),0,0,0,0,0,0,0,0,0,0,0,0,0,0
der(1q),0,0,0,0,0,0,0,0,0,0,1,0,0,0
der(4;13),0,0,0,0,0,0,0,0,0,0,0,0,0,0
min(22?),0,0,1,0,0,0,0,0,0,0,0,0,0,0
