Protein Name,SGD ID,gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Extiction Coefficient,DScore,#Amino acids,#TMH,#Cys,#Met,#Trp,#Tyr,Special Note
PNS1,YOR161C,1620,***,***,60250.7,8.38,1.68,0.017,539,10,12,17,11,30,
CCC1,YLR220W,969,*,*,34249.8,4.71,0.71,0.165,322,3,0,7,2,10,FLAG signal only
TVP15,YDR100W,432,*,*,15881.5,4.13,0.64,0.396,143,3,1,3,0,8,
YO390,YOR390W,1128,*,*,41985.1,8.58,1.2,0.286,375,9,11,14,5,17,FLAG signal only
SVP26,YHR181W,600,*,*,26283.7,8.55,1.11,0.668,228,4,4,2,2,14,
NSG1,YHR133C,780,*,*,32214.4,9.09,1.02,0.045,291,5,4,5,4,8,Broad peak
YIF1,YNL263C,945,**,**,35497.9,9.14,1.18,0.022,314,5,3,11,4,15,
SFT2,YBL102W,648,***,***,24274.2,8.99,1.25,0.015,215,4,5,7,4,6,
YHU0,YHR140W,720,*,*,27145.9,10.07,1.55,0.692,239,6,2,6,4,15,HIS>>>FLAG; broad peak
ACO1,YGL055W,1533,**,**,58402.8,9.33,1.99,0.032,510,4,4,14,15,24,FLAG signal only
YN15,YNL275W,1731,**,**,65027.5,7.92,0.9,0.037,576,10,10,14,6,19,
SHR3,YDL212W,633,****,****,23512.2,8.2,1.16,0.445,210,4,5,6,3,8,HIS>>>FLAG
PHS1,YJL097W,654,**,**,24510.6,10.37,1.48,0.556,217,6,2,6,3,15,
SSU1,YPL092W,1377,*,*,52545.1,8.6,1.98,0.347,458,9,10,21,12,28,
CTR3,YLR411W,726,**,**,27533.9,7.81,2.05,0.118,241,3,11,6,7,13,
YPC1,YBR183W,951,**,**,36419.6,8.41,2.73,0.205,316,4,5,6,13,20,FLAG signal only
STT3,YGL022W,2157,*,*,81528.7,8.15,2.05,0.618,718,13,5,22,21,37,
ATG9,YDL149W,2994,*,*,115402,5.82,1.05,0.032,997,6,8,16,11,46,Degragation
BTN1,YJL059W,1227,**,**,46383.1,7.18,1.34,0.539,408,11,7,11,6,22,
BST1,YFL025C,3090,**,**,117755,6.72,1.19,0.12,1029,8,9,25,15,43,FLAG signal only
FUN26,YAL022C,1554,*,*,58317.1,4.69,1.11,0.056,517,11,4,19,8,15,FLAG signal only
PTR2,YKR093W,1806,*,*,68043.4,5.04,1.63,0.016,601,11,12,18,13,29,
ERV29,YGR284C,933,*,*,35012.8,10.02,1.47,0.055,310,7,3,7,5,18,
YHB7,YHL017W,1599,**,**,61205.8,4.31,1.41,0.938,532,7,13,13,8,32,
PTM1,YKL039W,1572,***,***,61006.2,4.68,1.27,0.774,531,7,10,16,6,34,HIS>>>FLAG
ALG3,YBL082C,1377,**,*,52860.8,9.09,1.93,0.054,458,9,10,21,13,22,
YKI3,YKL083W,615,****,****,23674,8.02,1.21,0.621,204,5,11,3,1,18,HIS>>>FLAG
GEF1,YJR040W,2340,**,**,87591.4,7.11,1.22,0.057,779,11,14,17,12,30,FLAG signal only
YO073,YOL073C,969,***,***,35762.1,8.07,2.06,0.492,322,4,3,5,10,13,
ZRT1,YGL255W,1131,**,**,41581.6,5.6,2,0.122,376,8,6,7,11,16,FLAG signal only
YDC1,YPL087W,954,**,**,37230.7,7.17,3.01,0.131,317,7,4,10,15,21,
YKK0,YKL100C,1764,**,**,67525,5.25,1.42,0.031,587,7,5,12,11,26,FLAG signal only
GPI14,YJR013W,1212,*,*,47166.2,9.33,2.38,0.515,403,8,6,7,13,30,
PEX31,YGR004W,1389,*,*,52942.7,9.74,1.7,0.015,462,4,2,11,12,17,
YK31,YKR051W,1257,*,*,48756.7,8.54,2.25,0.631,418,7,11,8,13,28,
YJT8,YJL198W,2646,**,**,97688.3,7.1,1.07,0.043,881,12,10,22,12,28,
YBS4,YBR074W,2931,**,**,111068,6.51,1.17,0.485,976,9,9,17,13,44,HIS>>>FLAG
GPI11,YDR302W,660,**,*,25261.9,9.72,2.29,0.057,219,4,4,4,7,14,
TMS1,YDR105C,1422,**,**,52230,5.15,1.96,0.402,473,10,13,13,13,22,
ICE2,YIL090W,1476,*,*,56332.7,9.02,1.93,0.498,491,8,14,7,13,27,
VPS68,YOL129W,555,***,***,20101.2,5.06,1.64,0.249,184,4,3,3,4,8,
PHO87,YCR037C,2272,*,*,102539,6.23,0.94,0.149,923,12,11,25,12,22,
TVP38,YKR088C,1014,**,**,38311.3,6.25,1.03,0.017,337,5,1,11,4,13,
OST2,YOR103C,393,*,*,14697.5,9.74,0.17,0.112,130,3,5,2,0,2,FLAG signal only
CTR1,YPR124W,1221,*,*,44441.5,6.1,0.77,0.043,406,3,7,37,4,9,
RFT1,YBL020W,1725,**,**,66210.7,9.54,1.22,0.19,574,12,7,10,9,23,
GET2,YER083C,858,**,**,31493.3,9.96,1.27,0.04,285,3,0,5,5,9,FLAG signal only
GWT1,YJL091C,1473,*,*,55466.2,9.69,1.58,0.069,490,12,9,8,10,24,
YFL2,YFR042W,603,*,*,23555.2,10.01,1.84,0.528,200,4,2,4,4,16,HIS>>>FLAG
GMH1,YKR030W,822,*,*,31993.2,9.31,1.57,0.033,273,5,4,7,5,17,
YO271,YOR271C,984,***,**,35414.1,10.47,0.82,0.036,327,4,2,9,4,5,
LAG1,YHL003C,1236,*,*,48454.4,9.17,1.93,0.063,411,7,5,13,11,24,
YD352,YDR352W,954,**,**,35178.9,4.64,1.1,0.377,317,5,6,3,3,17,
YJ55,YJR085C,318,***,***,11250.1,9.64,1.25,0.23,105,3,0,5,0,11,
VPS55,YJR044C,423,***,***,15663.5,6.33,0.77,0.583,140,4,4,6,1,5,
YP162,YPL162C,822,**,*,31346.5,6.35,1.5,0.321,273,5,6,6,6,10,
YN86,YNR013C,2685,**,**,99490.1,8.12,1,0.077,894,12,10,30,13,20,
YL014,YLL014W,327,**,**,12404.4,4.88,1.79,0.182,108,3,1,2,3,4,
FET4,YMR319C,1659,****,****,62791.8,5.17,1.84,0.081,552,7,9,13,16,19,
YHN8,YHR078W,1659,*,*,63330.7,7.45,1.24,0.815,552,8,7,12,8,26,
TVP23,YDR084C,600,**,**,23147.8,8.86,2.46,0.209,199,3,4,4,8,9,
