Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,Signal peptide,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,Special Note
YKD7,YKL037W,357,-,-,12936.3,9.44,9,0.4,Y,0.5,118,3,5.9,1.7,0,3.4,
VTC1,YER072W,390,**,**,14371,11.1,10.5,1.15,N,0.152,129,3,0.8,3.1,1.6,3.1,
YD366,YDR366C,399,-,-,15539.8,9.29,8,1.19,Y,0.796,132,3,2.3,0.8,0.8,7.6,
TIM17,YJL143W,477,**,**,16584.1,10,7.5,1.79,N,0.132,158,3,2.5,3.2,3.2,0.6,
VATL1,YEL027W,483,*,* (<50%),16350.5,8.1,2,0.47,N,0.391,160,4,3.8,1.9,0,3.8,
YL050,YLR050C,486,*,*,19088.7,9.73,9,2.62,N,0.321,161,3,1.9,1.2,4.3,5,
TFP3,YPL234C,495,*,*,17037.4,7.84,2,0.53,N,0.342,164,4,3,4.9,0,4.3,
SCM4,YGR049W,564,,,20118.4,8.66,8,0.73,Y,0.441,187,4,3.7,2.1,0.5,3.7,failed in cloning
YG1A,YGR016W,573,*,* (<50%),22226.2,9.09,6.5,1.29,N,0.301,190,4,2.1,2.1,1.6,4.7,
YP257,YPL257W,582,**,**,22197,9.3,6.5,1.49,N,0.073,193,3,1,2.6,2.1,4.1,
YL356,YLR356W,594,*,*,20400.3,6.93,1,0.38,Y,0.486,197,4,1.5,1,0,3,
YL036,YLR036C,612,**,**,23377.8,9.85,15.5,0.98,N,0.109,203,3,3.9,2.5,1,4.4,
SYS1,YJL004C,612,**,**,23715.6,6.26,-0.5,2.3,N,0.231,203,4,1,0.5,3.9,3.4,
ILM1,YJR118C,612,-,-,23644.7,4.09,-15,0.86,Y,0.642,203,3,1,1.5,1,3.4,
CAX4,YGR036C,720,*,*,27649,8.65,6,1.47,N,0.245,239,3,2.1,2.5,1.7,5.9,
YEM9,YER039C,750,**,**,27687.7,8.73,3,1.28,N,0.383,249,6,1.2,4.4,1.6,4,
YKU7,YKL207W,762,*,*,31715.7,6.35,-0.5,1.5,N,0.13,282,3,0.7,5.7,2.5,2.1,
YL046,YLR046C,813,-,-,31053.8,9.82,10.5,1.29,N,0.144,270,6,1.1,3.7,1.9,3.3,
YD319,YDR319C,825,-,-,32011,8.53,10.5,2.38,Y,0.542,274,6,3.6,2.6,3.6,5.5,
LPP1,YDR503C,825,-,-,31586.2,8.4,8.5,1.67,N,0.297,274,4,3.6,3.6,2.6,3.6,
YN45,YNL305C,895,,,33644.9,4.63,-7,2,N,0.022,297,7,2.4,2.7,2.7,5.7,failed in cloning
FIG1,YBR040W,897,**,**,33775.7,9.88,13.5,1.37,Y,0.521,298,4,1.3,3.4,1.7,4.7,
SUR7,YML052W,909,***,***,33829.8,7.54,3.5,1.82,Y,0.676,302,4,1.7,3.3,3,2.6,
YE15,YER185W,912,-,-,33732.7,9.06,6.5,0.59,Y,0.564,303,7,1.3,2.6,0.3,3.6,
ADT1,YMR056C,930,**,**,34120.4,10.16,17.5,1.06,N,0.251,309,4,1,2.9,1,4.9,
YO292,YOR292C,930,**,**,36195.1,5.82,-3,1.95,N,0.086,309,5,1.9,2.9,2.9,4.9,
