Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,PFAM_count,Special Note
YJ55,YJR085C,318,***,***,11250.1,9.64,5,1.25,0.23,105,3,0,4.8,0,10.5,75,
YL014,YLL014W,327,**,**,12404.4,4.88,-2,1.79,0.182,108,3,0.9,1.9,2.8,3.7,26,
YLR171W,YLR171W,390,–,–,14689.3,9.43,8,1.86,0.085,129,3,3.9,2.3,2.3,6.2,273,
OST2,YOR103C,393,*,*,14697.5,9.74,8,0.17,0.112,130,3,3.8,1.5,0,1.5,79,FLAG signal only
VPS55,YJR044C,423,***,***,15663.5,6.33,-0.5,0.77,0.583,140,4,2.9,4.3,0.7,3.6,68,
TVP15,YDR100W,432,*,*,15881.5,4.13,-5.5,0.64,0.396,143,3,0.7,2.1,0,5.6,24,
GOT1,YMR292W,499,,,15430.7,11.27,6.5,0.82,0.513,138,3,0,1.4,1.4,0.7,52,dropped as intron
YCX7,YCR087W,516,,,19825.4,10.67,15.5,0.42,0.38,171,3,3.5,1.2,0.6,1.2,337,failed in cloning
NCE2,YPR149W,522,*,–,18967,9.62,8.5,0.64,0.625,173,4,2.9,2.3,0.6,2.9,106,
YGB0,YGL010W,525,,,20173.1,9.88,9.5,0.66,0.17,174,4,1.1,2.9,0.6,3.4,99,failed in cloning
YL065,YLR065C,546,–,–,20741.4,10.8,21,1.44,0.219,181,4,1.1,3.3,1.7,5.5,49,
VPS68,YOL129W,555,***,***,20101.2,5.06,-2,1.64,0.249,184,4,1.6,1.6,2.2,4.3,52,
TVP23,YDR084C,600,**,**,23147.8,8.86,5,2.46,0.209,199,3,2,2,4,4.5,60,
SVP26,YHR181W,600,*,*,26283.7,8.55,4.5,1.11,0.668,228,4,1.8,0.9,0.9,6.1,36,
YFL2,YFR042W,603,*,*,23555.2,10.01,15.5,1.84,0.528,200,4,1,2,2,8,116,HIS>>>FLAG
YKI3,YKL083W,615,****,****,23674,8.02,4.5,1.21,0.621,204,5,5.4,1.5,0.5,8.8,23702,HIS>>>FLAG
SHR3,YDL212W,633,****,****,23512.2,8.2,4.5,1.16,0.445,210,4,2.4,2.9,1.4,3.8,18,HIS>>>FLAG
DER1,YBR201W,636,–,–,24390.7,8.4,3.5,1.9,0.489,211,4,1.4,4.3,2.4,6.6,137,
SFT2,YBL102W,648,***,***,24274.2,8.99,5.5,1.25,0.015,215,4,2.3,3.3,1.9,2.8,99,
PHS1,YJL097W,654,**,**,24510.6,10.37,16.5,1.48,0.556,217,6,0.9,2.8,1.4,6.9,116,
GPI11,YDR302W,660,**,*,25261.9,9.72,12,2.29,0.057,219,4,1.8,1.8,3.2,6.4,39,
